Info,UF,Município,Metro/Interior,Ano_Semana,CasosAcumulados,CasosNovos,ObitosAcumulados,ObitosNovos
COVID19Casos,AC,Acrelândia,Interior,1/2024,3570,1,40,0
COVID19Casos,AC,Assis Brasil,Interior,1/2024,2286,0,26,0
COVID19Casos,AC,Brasiléia,Interior,1/2024,4172,40,52,0
COVID19Casos,AC,Bujari,Interior,1/2024,1681,5,20,1
COVID19Casos,AC,Capixaba,Interior,1/2024,1216,9,19,0
COVID19Casos,AC,Cruzeiro do Sul,Interior,1/2024,18362,613,188,0
COVID19Casos,AC,Epitaciolândia,Interior,1/2024,2246,9,41,0
COVID19Casos,AC,Feijó,Interior,1/2024,4162,9,69,0
COVID19Casos,AC,Jordão,Interior,1/2024,738,0,2,0
COVID19Casos,AC,Mâncio Lima,Interior,1/2024,3167,9,37,0
COVID19Casos,AC,Manoel Urbano,Interior,1/2024,1213,8,18,0
COVID19Casos,AC,Marechal Thaumaturgo,Interior,1/2024,1943,2,15,0
COVID19Casos,AC,Plácido de Castro,Interior,1/2024,3915,21,29,0
COVID19Casos,AC,Porto Acre,Interior,1/2024,2698,12,42,0
COVID19Casos,AC,Porto Walter,Interior,1/2024,583,4,7,0
COVID19Casos,AC,Rio Branco,Reg. Metropolitana,1/2024,89988,647,1230,2
COVID19Casos,AC,Rodrigues Alves,Interior,1/2024,1164,49,14,0
COVID19Casos,AC,Santa Rosa do Purus,Interior,1/2024,1209,0,7,0
COVID19Casos,AC,Sena Madureira,Interior,1/2024,9101,16,87,0
COVID19Casos,AC,Senador Guiomard,Interior,1/2024,3403,25,44,0
COVID19Casos,AC,Tarauacá,Interior,1/2024,7097,6,50,0
COVID19Casos,AC,Xapuri,Interior,1/2024,3616,0,33,0
COVID19Casos,AL,,Interior,1/2024,0,0,0,0
COVID19Casos,AL,Água Branca,Interior,1/2024,1126,0,32,0
COVID19Casos,AL,Anadia,Interior,1/2024,1923,1,40,0
COVID19Casos,AL,Arapiraca,Interior,1/2024,43046,286,596,0
COVID19Casos,AL,Atalaia,Interior,1/2024,2364,12,62,0
COVID19Casos,AL,Barra de Santo Antônio,Reg. Metropolitana,1/2024,659,0,34,0
COVID19Casos,AL,Barra de São Miguel,Reg. Metropolitana,1/2024,1118,8,11,0
COVID19Casos,AL,Batalha,Interior,1/2024,1341,5,25,0
COVID19Casos,AL,Belém,Interior,1/2024,269,0,8,0
COVID19Casos,AL,Belo Monte,Interior,1/2024,696,12,11,0
COVID19Casos,AL,Boca da Mata,Interior,1/2024,2893,2,54,0
COVID19Casos,AL,Branquinha,Interior,1/2024,1224,1,17,0
COVID19Casos,AL,Cacimbinhas,Interior,1/2024,1154,0,13,0
COVID19Casos,AL,Cajueiro,Interior,1/2024,952,2,36,0
COVID19Casos,AL,Campestre,Interior,1/2024,317,0,7,0
COVID19Casos,AL,Campo Alegre,Interior,1/2024,3409,0,87,0
COVID19Casos,AL,Campo Grande,Interior,1/2024,681,0,11,0
COVID19Casos,AL,Canapi,Interior,1/2024,721,0,17,0
COVID19Casos,AL,Capela,Interior,1/2024,1515,1,20,0
COVID19Casos,AL,Carneiros,Interior,1/2024,502,5,11,0
COVID19Casos,AL,Chã Preta,Interior,1/2024,500,0,12,0
COVID19Casos,AL,Coité do Nóia,Interior,1/2024,791,1,23,0
COVID19Casos,AL,Colônia Leopoldina,Interior,1/2024,532,0,23,0
COVID19Casos,AL,Coqueiro Seco,Reg. Metropolitana,1/2024,622,4,9,0
COVID19Casos,AL,Coruripe,Interior,1/2024,6157,17,73,0
COVID19Casos,AL,Craíbas,Interior,1/2024,1692,1,35,0
COVID19Casos,AL,Delmiro Gouveia,Interior,1/2024,6670,10,151,0
COVID19Casos,AL,Dois Riachos,Interior,1/2024,879,1,9,0
COVID19Casos,AL,Estrela de Alagoas,Interior,1/2024,815,0,25,0
COVID19Casos,AL,Feira Grande,Interior,1/2024,1162,0,24,0
COVID19Casos,AL,Feliz Deserto,Interior,1/2024,229,0,5,0
COVID19Casos,AL,Flexeiras,Interior,1/2024,845,0,22,0
