Distribuição dos casos notificados e confirmados (autóctones e importados ) de dengue segundo município de residência, por mês de início de sintomas,ESP, 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DRS;;GVE;;Região de Saúde;;município;Janeiro ;;;Fevereiro;;;Março;;;Abril;;;Maio;;;Junho;;;Julho;;;;Agosto;;;Setembro;;;Outubro;;;Novembro;;;Dezembro;;Total;;;;;;;;;;;;;;;;;
;;;;;;;notificados ;confirmados;;notificados ;confirmados;;notificados ;confirmados;;notificados ;confirmados;;notificados ;confirmados;;notificados ;confirmados;;notificados ;confirmados;;notificados;confirmados;;notificados;Confirmados;;notificados;confirmados;;notificados;confirmados;;notificados;confirmados;;notificados ;confirmados;;;;;;;;;;;;;;;;
;;;;;;;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;;autóctone;importados;;autóctones;importados;;autóctones;importados;;autóctones;importados;;autóctones;importados;; autóctones ; importados ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Marília;XIX;MARÍLIA;35091;ADAMANTINA ;350010 Adamantina;23;9;0;21;7;0;166;128;0;576;429;1;731;468;0;205;95;0;96;40;0;39;21;0;18;11;0;29;12;0;62;39;0;175;98;0;2.141;1.357;1;;;;;;;;;;;;;;;
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35156;JOSÉ BONIFÁCIO;350020 Adolfo;102;49;0;37;28;0;68;48;0;52;34;0;23;14;0;7;2;0;2;0;0;2;0;0;0;0;0;0;0;0;1;0;0;3;1;0;297;176;0;;;;;;;;;;;;;;;
14;São João da Boa Vista;XXVI;SÃO JOÃO DA BOA VISTA;35142;MANTIQUEIRA;350030 Aguaí;9;2;0;3;1;0;5;1;0;7;0;1;8;1;0;1;0;0;2;0;0;0;0;0;3;0;0;2;0;0;1;0;0;3;0;0;44;5;1;;;;;;;;;;;;;;;
14;São João da Boa Vista;XXVI;SÃO JOÃO DA BOA VISTA;35142;MANTIQUEIRA;350040 Águas da Prata;0;0;0;0;0;0;3;0;0;1;0;0;2;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;;;;;;;;;;;;;;;
7;Campinas;XVII;CAMPINAS;35074;CIRCUITO DAS AGUAS;350050 Águas de Lindóia;1;0;0;0;0;0;1;0;1;26;2;4;54;9;3;9;0;3;0;0;0;0;0;0;3;0;0;2;0;0;1;0;0;4;0;0;101;11;11;;;;;;;;;;;;;;;
6;Bauru;XVI;BOTUCATU;35061;VALE DO JURUMIRIM;350055 Águas de Santa Bárbara;1;0;0;0;0;0;2;1;0;19;10;2;46;30;2;15;2;0;3;2;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;88;46;4;;;;;;;;;;;;;;;
10;Piracicaba;XX;PIRACICABA;35103;PIRACICABA;350060 Águas de São Pedro;0;0;0;5;0;1;12;0;3;24;8;3;35;5;1;13;3;0;9;0;0;2;0;0;4;0;0;3;0;0;0;0;0;3;0;0;110;16;8;;;;;;;;;;;;;;;
6;Bauru;XV;BAURU;35062;BAURU;350070 Agudos;2;1;1;5;0;0;40;34;1;98;74;2;117;95;1;52;19;1;23;13;0;24;5;0;6;2;0;9;1;0;12;4;0;11;5;1;399;253;7;;;;;;;;;;;;;;;
16;Sorocaba;XXXI;SOROCABA;35161;ITAPETININGA;350075 Alambari;2;0;0;0;0;0;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;1;0;;;;;;;;;;;;;;;
11;Presidente Prudente;XXI;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;350080 Alfredo Marcondes;12;4;1;4;1;0;3;0;0;27;2;4;70;8;12;30;4;10;22;3;2;12;3;1;6;0;2;18;2;5;115;25;57;271;137;22;590;189;116;;;;;;;;;;;;;;;
5;Barretos;XIV;BARRETOS;35051;NORTE-BARRETOS;350090 Altair;9;2;1;10;2;3;29;12;4;47;13;0;5;1;0;1;0;0;1;1;0;0;0;0;1;0;0;3;0;0;4;0;0;2;0;0;112;31;8;;;;;;;;;;;;;;;
13;Riberão Preto;XXIV;RIBEIRÃO PRETO;35133;VALE DAS CACHOEIRAS;350100 Altinópolis;2;0;0;4;0;0;8;0;2;26;3;2;5;3;0;0;0;0;0;0;0;3;0;0;4;0;0;1;0;0;0;0;0;2;0;0;55;6;4;;;;;;;;;;;;;;;
2;Araçatuba;XI;ARAÇATUBA;35023;CONSÓRCIOS DO DRS II;350110 Alto Alegre;112;102;2;81;75;2;102;95;4;40;35;2;22;22;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;358;329;10;;;;;;;;;;;;;;;
16;Sorocaba;XXXI;SOROCABA;35163;SOROCABA;350115 Alumínio;4;0;0;2;0;0;6;2;2;3;2;0;12;0;1;5;0;0;0;0;0;1;0;0;1;0;0;3;0;0;7;0;0;5;0;0;49;4;3;;;;;;;;;;;;;;;
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35157;VOTUPORANGA;350120 Álvares Florence;54;34;0;146;101;0;300;183;0;133;77;1;57;17;0;24;8;0;5;0;0;10;0;0;5;0;0;14;1;0;13;1;0;35;15;0;796;437;1;;;;;;;;;;;;;;;
11;Presidente Prudente;XXI;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;350130 Álvares Machado;24;4;0;11;2;0;23;4;1;91;20;1;172;65;0;97;21;0;76;31;0;63;23;2;50;27;0;80;41;0;178;128;2;355;285;1;1.220;651;7;;;;;;;;;;;;;;;
9;Marília;XIX;MARÍLIA;35093;MARÍLIA;350140 Álvaro de Carvalho;5;0;0;4;2;0;23;8;1;91;47;1;80;34;0;30;12;0;9;1;0;5;1;0;0;0;0;0;0;0;0;0;0;3;0;0;250;105;2;;;;;;;;;;;;;;;
9;Marília;XIX;MARÍLIA;35093;MARÍLIA;350150 Alvinlândia;1;0;0;2;0;0;4;0;0;9;2;1;17;11;1;2;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;1;0;2;0;0;41;14;2;;;;;;;;;;;;;;;
7;Campinas;XVII;CAMPINAS;35072;REG METRO CAMPINAS;350160 Americana;113;9;1;148;76;0;1.240;815;4;2.337;1.663;4;1.662;1.312;1;360;252;1;139;86;0;101;35;0;94;17;0;94;19;0;84;6;0;71;9;0;6.443;4.299;11;;;;;;;;;;;;;;;
3;Araraquara;XII;ARARAQUARA;35031;CENTRAL DO DRS III;350170 Américo Brasiliense;19;3;3;153;111;2;995;798;0;1.541;1.436;12;880;833;3;172;127;0;73;48;0;28;16;0;35;4;0;37;6;0;32;3;0;22;5;0;3.987;3.390;20;;;;;;;;;;;;;;;
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35157;VOTUPORANGA;350180 Américo de Campos;22;8;0;129;108;3;203;137;3;241;107;4;137;49;0;18;8;0;2;0;0;2;0;0;6;0;0;3;0;0;7;1;0;3;0;0;773;418;10;;;;;;;;;;;;;;;
7;Campinas;XVII;CAMPINAS;35074;CIRCUITO DAS AGUAS;350190 Amparo;2;0;0;4;0;0;6;0;1;37;9;2;63;8;4;23;3;0;7;0;0;7;0;0;11;0;1;9;0;0;5;0;0;9;0;0;183;20;8;;;;;;;;;;;;;;;
10;Piracicaba;XX;PIRACICABA;35104;RIO CLARO;350200 Analândia;0;0;0;0;0;0;2;0;0;18;8;1;49;20;4;23;9;1;15;0;0;13;1;0;7;0;0;6;0;0;6;0;0;5;1;0;144;39;6;;;;;;;;;;;;;;;
2;Araçatuba;XI;ARAÇATUBA;35022;LAGOS DO DRS II;350210 Andradina;70;9;0;94;35;0;359;165;0;668;662;0;843;843;0;189;187;0;154;21;0;86;8;0;63;3;0;56;6;1;74;11;0;87;10;0;2.743;1.960;1;;;;;;;;;;;;;;;
16;Sorocaba;XXXI;SOROCABA;35161;ITAPETININGA;350220 Angatuba;1;1;0;3;0;0;3;1;1;6;3;0;5;0;2;3;0;0;5;3;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;29;8;3;;;;;;;;;;;;;;;
6;Bauru;XVI;BOTUCATU;35063;POLO CUESTA;350230 Anhembi;2;1;0;0;0;0;2;1;0;3;3;0;5;3;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;0;0;1;0;0;19;8;0;;;;;;;;;;;;;;;
